number,value,datetime_start,datetime_complete,duration,params_bagging_temperature,params_bootstrap_type,params_depth,params_iterations,params_l2_leaf_reg,params_learning_rate,params_od_type,params_od_wait,params_random_strength,state
53,0.8505135951661631,2025-08-01 09:11:42.502226,2025-08-01 09:11:51.932427,0 days 00:00:09.430201,0.43361540400216797,Bayesian,10,821,3.021926092910504e-06,0.001014194428062336,IncToDec,49,2.869911724336748e-08,COMPLETE
54,0.8545015105740181,2025-08-01 09:11:51.936428,2025-08-01 09:11:59.081261,0 days 00:00:07.144833,2.004061179988806,Bayesian,9,895,6.365814679133865e-07,0.0024118460718828283,IncToDec,46,2.614951002235894e-06,COMPLETE
55,0.857643504531722,2025-08-01 09:11:59.082837,2025-08-01 09:12:05.778479,0 days 00:00:06.695642,1.1043036332874538,Bayesian,9,814,33.647500983876945,0.0030580314535086943,IncToDec,38,2.577199877084456e-07,COMPLETE
56,0.8548640483383686,2025-08-01 09:12:05.788144,2025-08-01 09:12:16.444080,0 days 00:00:10.655936,2.348477630579079,Bayesian,10,792,9.613630718895264e-08,0.0017261719137805218,IncToDec,44,1.1023167721402311e-07,COMPLETE
57,0.8555891238670695,2025-08-01 09:12:16.449152,2025-08-01 09:12:24.515018,0 days 00:00:08.065866,1.2957651871612734,Bayesian,9,971,0.00019612468114652007,0.015196747672738029,IncToDec,50,1.7537558684590348e-08,COMPLETE
58,0.841570996978852,2025-08-01 09:12:24.516637,2025-08-01 09:12:25.729981,0 days 00:00:01.213344,0.3426277513576659,Bayesian,4,373,2.8339484869202038e-08,0.012279854096811328,IncToDec,47,4.001326851833346e-08,COMPLETE
59,0.8525679758308157,2025-08-01 09:12:25.730415,2025-08-01 09:12:28.461622,0 days 00:00:02.731207,2.597002047571148,Bayesian,6,695,0.0018826677797700157,0.007134507666219,IncToDec,41,1.2360872253171861e-08,COMPLETE
60,0.857643504531722,2025-08-01 09:12:28.462052,2025-08-01 09:12:31.815941,0 days 00:00:03.353889,0.8196062959438405,Bayesian,8,637,1.0566334103797507e-06,0.008651517068194689,IncToDec,33,3.651985789733703e-07,COMPLETE
61,0.8581268882175227,2025-08-01 09:12:31.816371,2025-08-01 09:12:38.125590,0 days 00:00:06.309219,1.0429833003998659,Bayesian,9,866,32.63270701837756,0.0028823299814954868,IncToDec,38,2.0318553269536667e-07,COMPLETE
62,0.857643504531722,2025-08-01 09:12:38.126320,2025-08-01 09:12:49.311669,0 days 00:00:11.185349,1.6141116732923249,Bayesian,10,890,1.8009190202782084,0.0032010018354330393,IncToDec,39,6.365397189591725e-08,COMPLETE
63,0.8290030211480363,2025-08-01 09:12:49.314906,2025-08-01 09:12:56.103133,0 days 00:00:06.788227,9.991369837016018,Bayesian,9,854,6.8305216820532655,0.0016496338547109684,IncToDec,36,1.338956966376403e-07,COMPLETE
64,0.8534138972809667,2025-08-01 09:12:56.103921,2025-08-01 09:13:02.801036,0 days 00:00:06.697115,0.41384403045992213,Bayesian,9,943,41.630776702098366,0.001382176772919101,IncToDec,42,1.0564782600339504e-06,COMPLETE
65,0.8589728096676738,2025-08-01 09:13:02.801814,2025-08-01 09:13:07.247825,0 days 00:00:04.446011,0.8222570197497912,Bayesian,8,765,0.3876217813808859,0.003406135545998623,IncToDec,37,2.1863415707967884e-08,COMPLETE
66,0.8593353474320242,2025-08-01 09:13:07.250729,2025-08-01 09:13:11.965893,0 days 00:00:04.715164,0.8090979796837232,Bayesian,8,752,0.45679320561644177,0.0034383158914303674,IncToDec,34,1.4319702827092677e-07,COMPLETE
67,0.8593353474320242,2025-08-01 09:13:11.968480,2025-08-01 09:13:16.266869,0 days 00:00:04.298389,0.7344193422311741,Bayesian,8,757,0.16084055872563913,0.0036757320959034494,Iter,34,4.144096855002347e-08,COMPLETE
68,0.859214501510574,2025-08-01 09:13:16.267770,2025-08-01 09:13:20.466895,0 days 00:00:04.199125,0.7139807648811723,Bayesian,8,748,0.3430615089845861,0.003640295151926844,Iter,32,2.7080516896511603e-06,COMPLETE
69,0.8611480362537764,2025-08-01 09:13:20.467840,2025-08-01 09:13:25.085413,0 days 00:00:04.617573,0.23793390801249104,Bayesian,8,749,0.055284173833519114,0.004946166277825312,Iter,32,1.3501775665694921e-05,COMPLETE
70,0.857643504531722,2025-08-01 09:13:25.091767,2025-08-01 09:13:29.705982,0 days 00:00:04.614215,1.8655938426877503,Bayesian,8,790,0.05564496174941569,0.0045629601806525194,Iter,31,1.856616151600726e-05,COMPLETE
71,0.8612688821752266,2025-08-01 09:13:29.706409,2025-08-01 09:13:34.147918,0 days 00:00:04.441509,0.24007827112719204,Bayesian,8,739,0.19064864950501278,0.006088563292340394,Iter,28,4.158869066278186e-06,COMPLETE
72,0.8611480362537764,2025-08-01 09:13:34.149931,2025-08-01 09:13:39.090618,0 days 00:00:04.940687,0.3111419038450389,Bayesian,8,751,0.1456885472891377,0.004856080486205314,Iter,29,2.5795767706082845e-06,COMPLETE
73,0.8604229607250755,2025-08-01 09:13:39.093490,2025-08-01 09:13:44.301777,0 days 00:00:05.208287,0.35332243046489903,Bayesian,8,788,0.012693409081588721,0.004760622568076333,Iter,28,6.284924843419625e-05,COMPLETE
74,0.8627190332326284,2025-08-01 09:13:44.303804,2025-08-01 09:13:48.691796,0 days 00:00:04.387992,0.3016590965890408,Bayesian,8,683,0.01490251235739413,0.004934207097751387,Iter,27,3.78561919643789e-05,COMPLETE
75,0.8605438066465256,2025-08-01 09:13:48.693583,2025-08-01 09:13:52.861189,0 days 00:00:04.167606,0.26888493033089883,Bayesian,8,684,0.015194974575206978,0.005150489183225174,Iter,26,5.8395632279345755e-05,COMPLETE
76,0.8606646525679759,2025-08-01 09:13:52.861756,2025-08-01 09:13:56.762438,0 days 00:00:03.900682,0.29211045697420757,Bayesian,8,683,0.015019609804234129,0.006212723133127538,Iter,26,4.496644676405092e-05,COMPLETE
